prediction_time,horizon,horizon_timedelta,quantile,y_pred
2025-12-31 00:05:00+00:00,1h,0 days 01:00:00,0.1,-1.0910736928052025
2025-12-31 00:05:00+00:00,1h,0 days 01:00:00,0.5,0.02414461694331713
2025-12-31 00:05:00+00:00,1h,0 days 01:00:00,0.9,1.0754184838732745
2025-12-31 00:05:00+00:00,2h,0 days 02:00:00,0.1,-1.0774450371232969
2025-12-31 00:05:00+00:00,2h,0 days 02:00:00,0.5,-0.0011056209297346568
2025-12-31 00:05:00+00:00,2h,0 days 02:00:00,0.9,1.1202622576489654
2025-12-31 00:05:00+00:00,3h,0 days 03:00:00,0.1,-1.1134771322217567
2025-12-31 00:05:00+00:00,3h,0 days 03:00:00,0.5,0.007392519162277082
2025-12-31 00:05:00+00:00,3h,0 days 03:00:00,0.9,1.128658432158885
2025-12-31 00:05:00+00:00,4h,0 days 04:00:00,0.1,-1.1237017536632181
2025-12-31 00:05:00+00:00,4h,0 days 04:00:00,0.5,0.012151596424799585
2025-12-31 00:05:00+00:00,4h,0 days 04:00:00,0.9,1.131780831667621
2025-12-31 00:05:00+00:00,5h,0 days 05:00:00,0.1,-1.126869259346973
2025-12-31 00:05:00+00:00,5h,0 days 05:00:00,0.5,0.007580034079632782
2025-12-31 00:05:00+00:00,5h,0 days 05:00:00,0.9,1.1583587063271943
2025-12-31 00:05:00+00:00,6h,0 days 06:00:00,0.1,-1.110949766403012
2025-12-31 00:05:00+00:00,6h,0 days 06:00:00,0.5,-0.0048477387247903205
2025-12-31 00:05:00+00:00,6h,0 days 06:00:00,0.9,1.1397050813852623
2025-12-31 00:05:00+00:00,7h,0 days 07:00:00,0.1,-1.1332013352748722
2025-12-31 00:05:00+00:00,7h,0 days 07:00:00,0.5,0.010891736204528832
2025-12-31 00:05:00+00:00,7h,0 days 07:00:00,0.9,1.1662100920715979
2025-12-31 00:05:00+00:00,8h,0 days 08:00:00,0.1,-1.132022755399369
2025-12-31 00:05:00+00:00,8h,0 days 08:00:00,0.5,0.005145657687167309
2025-12-31 00:05:00+00:00,8h,0 days 08:00:00,0.9,1.1748705251143203
2025-12-31 00:05:00+00:00,9h,0 days 09:00:00,0.1,-1.1675211555263816
2025-12-31 00:05:00+00:00,9h,0 days 09:00:00,0.5,0.009544450450599996
2025-12-31 00:05:00+00:00,9h,0 days 09:00:00,0.9,1.1767365482623018
2025-12-31 00:05:00+00:00,10h,0 days 10:00:00,0.1,-1.1447374788045594
2025-12-31 00:05:00+00:00,10h,0 days 10:00:00,0.5,0.027329260082872602
2025-12-31 00:05:00+00:00,10h,0 days 10:00:00,0.9,1.206291153684889
2025-12-31 00:05:00+00:00,11h,0 days 11:00:00,0.1,-1.1287454929972978
2025-12-31 00:05:00+00:00,11h,0 days 11:00:00,0.5,0.010070965855095506
2025-12-31 00:05:00+00:00,11h,0 days 11:00:00,0.9,1.2194458987961974
2025-12-31 00:05:00+00:00,12h,0 days 12:00:00,0.1,-1.1693216132163713
2025-12-31 00:05:00+00:00,12h,0 days 12:00:00,0.5,0.0056210510232367825
2025-12-31 00:05:00+00:00,12h,0 days 12:00:00,0.9,1.202169492506618
